step=2 pts=500000 plates=20 total=314.0ms | move=2.9 boundary=6.7 subduction=166.6 collision=97.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.7 resample=0.0
step=4 pts=500000 plates=20 total=304.3ms | move=3.9 boundary=8.2 subduction=162.6 collision=82.4 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=47.2 resample=0.0
step=6 pts=500000 plates=20 total=301.2ms | move=3.1 boundary=7.2 subduction=169.8 collision=81.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.3 resample=0.0
step=8 pts=500000 plates=20 total=301.0ms | move=3.3 boundary=6.8 subduction=163.5 collision=85.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=42.0 resample=0.0
step=10 pts=500000 plates=20 total=310.9ms | move=3.4 boundary=6.9 subduction=161.9 collision=96.1 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=42.5 resample=0.0
step=12 pts=500000 plates=20 total=301.0ms | move=3.6 boundary=7.2 subduction=162.9 collision=87.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.7 resample=0.0
step=14 pts=500000 plates=20 total=289.8ms | move=3.0 boundary=7.1 subduction=155.6 collision=85.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=38.9 resample=0.0
step=16 pts=500000 plates=20 total=284.7ms | move=2.9 boundary=6.7 subduction=147.7 collision=87.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=40.3 resample=0.0
step=18 pts=500000 plates=20 total=283.1ms | move=3.0 boundary=7.4 subduction=149.3 collision=82.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=41.0 resample=0.0
step=20 pts=500000 plates=20 total=275.2ms | move=3.1 boundary=7.4 subduction=140.8 collision=83.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=40.0 resample=0.0
step=22 pts=500000 plates=20 total=271.1ms | move=3.6 boundary=7.0 subduction=140.8 collision=80.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.4 resample=0.0
step=24 pts=500000 plates=20 total=269.5ms | move=3.1 boundary=6.8 subduction=136.2 collision=83.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.7 resample=0.0
step=26 pts=500000 plates=20 total=262.9ms | move=2.9 boundary=6.8 subduction=132.0 collision=81.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.3 resample=0.0
step=28 pts=500000 plates=20 total=266.6ms | move=3.0 boundary=6.9 subduction=130.0 collision=87.4 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.2 resample=0.0
step=30 pts=500000 plates=20 total=258.9ms | move=3.4 boundary=7.1 subduction=126.9 collision=80.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=40.4 resample=0.0
step=32 pts=500011 plates=20 total=47159.5ms | move=3.8 boundary=6.6 subduction=125.6 collision=79.6 rift=0.0 rift_bnd=0.0 oceanic=46903.8 erosion=40.1 resample=0.0
step=34 pts=500011 plates=20 total=635.7ms | move=3.0 boundary=81.9 subduction=380.8 collision=128.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=41.6 resample=0.0
step=36 pts=500011 plates=20 total=655.6ms | move=4.1 boundary=97.0 subduction=362.4 collision=151.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=40.2 resample=0.0
step=38 pts=500011 plates=20 total=648.1ms | move=3.3 boundary=87.1 subduction=379.3 collision=135.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=42.5 resample=0.0
  RESAMPLE: total=120621ms | old_delaunay=48093 new_delaunay=55463 adjacency=59 flood=159 interp=16825
step=40 pts=500000 plates=22 total=167324.4ms | move=3.2 boundary=92.4 subduction=372.3 collision=153.7 rift=45927.3 rift_bnd=109.4 oceanic=0.0 erosion=42.7 resample=120623.4
step=42 pts=500000 plates=22 total=317.3ms | move=3.0 boundary=7.3 subduction=154.5 collision=107.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=44.8 resample=0.0
step=44 pts=500000 plates=22 total=314.0ms | move=3.4 boundary=8.7 subduction=159.3 collision=104.4 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=38.1 resample=0.0
step=46 pts=500000 plates=22 total=304.4ms | move=2.9 boundary=7.5 subduction=161.5 collision=94.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=38.1 resample=0.0
step=48 pts=500000 plates=22 total=317.6ms | move=3.4 boundary=7.8 subduction=159.2 collision=107.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.5 resample=0.0
step=50 pts=500000 plates=22 total=328.7ms | move=3.6 boundary=7.6 subduction=174.4 collision=93.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=49.7 resample=0.0
step=52 pts=500000 plates=22 total=343.9ms | move=4.4 boundary=8.5 subduction=168.3 collision=119.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=42.8 resample=0.0
step=54 pts=500000 plates=22 total=301.8ms | move=3.4 boundary=8.1 subduction=150.0 collision=101.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=38.8 resample=0.0
step=56 pts=500000 plates=22 total=310.7ms | move=3.0 boundary=7.0 subduction=151.5 collision=110.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.0 resample=0.0
step=58 pts=500000 plates=22 total=291.6ms | move=3.0 boundary=7.1 subduction=145.9 collision=96.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.1 resample=0.0
step=60 pts=500000 plates=22 total=281.0ms | move=3.0 boundary=7.8 subduction=142.5 collision=89.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=38.6 resample=0.0
step=62 pts=500000 plates=22 total=298.7ms | move=3.0 boundary=7.5 subduction=141.2 collision=107.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.6 resample=0.0
step=64 pts=500000 plates=22 total=282.7ms | move=3.4 boundary=6.9 subduction=133.9 collision=98.2 rift=0.0 rift_bnd=0.0 oceanic=1.5 erosion=38.6 resample=0.0
