  after assign_samples step=1: assigned=478325/500000 gap=21675 plates=20
    plate[0]: 16902 samples, 18304 mesh verts, 35503 tris
    plate[1]: 18118 samples, 19887 mesh verts, 38869 tris
    plate[2]: 20474 samples, 22212 mesh verts, 43374 tris
    plate[3]: 19407 samples, 21162 mesh verts, 40915 tris
    plate[4]: 14303 samples, 15313 mesh verts, 29785 tris
    plate[5]: 34280 samples, 37897 mesh verts, 73812 tris
    plate[6]: 19940 samples, 20832 mesh verts, 40696 tris
    plate[7]: 17572 samples, 18970 mesh verts, 37038 tris
    plate[8]: 21894 samples, 23287 mesh verts, 45411 tris
    plate[9]: 24849 samples, 26740 mesh verts, 52406 tris
    plate[10]: 32671 samples, 33992 mesh verts, 66715 tris
    plate[11]: 29863 samples, 30779 mesh verts, 60420 tris
    plate[12]: 37433 samples, 39979 mesh verts, 78311 tris
    plate[13]: 17063 samples, 17676 mesh verts, 34530 tris
    plate[14]: 36142 samples, 38023 mesh verts, 74518 tris
    plate[15]: 26311 samples, 28804 mesh verts, 55951 tris
    plate[16]: 17537 samples, 19130 mesh verts, 37153 tris
    plate[17]: 10381 samples, 11273 mesh verts, 21894 tris
    plate[18]: 32728 samples, 34776 mesh verts, 67165 tris
    plate[19]: 30457 samples, 33936 mesh verts, 65530 tris
  crust: cont=163280 (31.8%) ocean=349692 below_sea=0 elev=[2.000,2.000] avg=2.000 andean=0 himalayan=0
  after assign_samples step=2: assigned=460480/500000 gap=39520 plates=20
    plate[0]: 16444 samples, 18304 mesh verts, 35503 tris
    plate[1]: 17156 samples, 19887 mesh verts, 38869 tris
    plate[2]: 19736 samples, 22212 mesh verts, 43374 tris
    plate[3]: 18760 samples, 21162 mesh verts, 40915 tris
    plate[4]: 13979 samples, 15313 mesh verts, 29785 tris
    plate[5]: 32473 samples, 37897 mesh verts, 73812 tris
    plate[6]: 19637 samples, 20832 mesh verts, 40696 tris
    plate[7]: 16983 samples, 18970 mesh verts, 37038 tris
    plate[8]: 21484 samples, 23287 mesh verts, 45411 tris
    plate[9]: 23998 samples, 26740 mesh verts, 52406 tris
    plate[10]: 32213 samples, 33992 mesh verts, 66715 tris
    plate[11]: 29481 samples, 30779 mesh verts, 60420 tris
    plate[12]: 35900 samples, 39979 mesh verts, 78311 tris
    plate[13]: 16848 samples, 17676 mesh verts, 34530 tris
    plate[14]: 34963 samples, 38023 mesh verts, 74518 tris
    plate[15]: 24722 samples, 28804 mesh verts, 55951 tris
    plate[16]: 16370 samples, 19130 mesh verts, 37153 tris
    plate[17]: 9767 samples, 11273 mesh verts, 21894 tris
    plate[18]: 31555 samples, 34776 mesh verts, 67165 tris
    plate[19]: 28011 samples, 33936 mesh verts, 65530 tris
  crust: cont=163280 (31.8%) ocean=349692 below_sea=0 elev=[2.000,16.471] avg=3.524 andean=0 himalayan=0
  after assign_samples step=3: assigned=443763/500000 gap=56237 plates=20
    plate[0]: 15991 samples, 18304 mesh verts, 35503 tris
    plate[1]: 16228 samples, 19887 mesh verts, 38869 tris
    plate[2]: 19106 samples, 22212 mesh verts, 43374 tris
    plate[3]: 18079 samples, 21162 mesh verts, 40915 tris
    plate[4]: 13654 samples, 15313 mesh verts, 29785 tris
    plate[5]: 30774 samples, 37897 mesh verts, 73812 tris
    plate[6]: 19330 samples, 20832 mesh verts, 40696 tris
    plate[7]: 16382 samples, 18970 mesh verts, 37038 tris
    plate[8]: 21106 samples, 23287 mesh verts, 45411 tris
    plate[9]: 23133 samples, 26740 mesh verts, 52406 tris
    plate[10]: 31793 samples, 33992 mesh verts, 66715 tris
    plate[11]: 29163 samples, 30779 mesh verts, 60420 tris
    plate[12]: 34452 samples, 39979 mesh verts, 78311 tris
    plate[13]: 16671 samples, 17676 mesh verts, 34530 tris
    plate[14]: 33838 samples, 38023 mesh verts, 74518 tris
    plate[15]: 23264 samples, 28804 mesh verts, 55951 tris
    plate[16]: 15298 samples, 19130 mesh verts, 37153 tris
    plate[17]: 9170 samples, 11273 mesh verts, 21894 tris
    plate[18]: 30485 samples, 34776 mesh verts, 67165 tris
    plate[19]: 25846 samples, 33936 mesh verts, 65530 tris
  crust: cont=204688 (39.9%) ocean=308284 below_sea=0 elev=[0.000,34.454] avg=6.004 andean=48894 himalayan=0
  after assign_samples step=4: assigned=406143/500000 gap=93857 plates=20
    plate[0]: 15648 samples, 18325 mesh verts, 35524 tris
    plate[1]: 9772 samples, 12208 mesh verts, 23728 tris
    plate[2]: 18573 samples, 22229 mesh verts, 43391 tris
    plate[3]: 584 samples, 18526 mesh verts, 35874 tris
    plate[4]: 13350 samples, 15324 mesh verts, 29796 tris
    plate[5]: 29155 samples, 37897 mesh verts, 73812 tris
